_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2022,1,KOLKATA,AGARTALA,27310,21159,167.10,47.47,8.65,4.32
2,2022,2,KOLKATA,AGARTALA,21301,24647,220.44,40.22,9.74,1.67
3,2022,3,KOLKATA,AGARTALA,31948,36607,210.29,27.85,7.51,1.43
4,2022,4,KOLKATA,AGARTALA,35131,36691,278.19,40.54,8.32,3.24
5,2022,5,KOLKATA,AGARTALA,40835,43215,292.40,24.61,5.75,1.18
6,2022,6,KOLKATA,AGARTALA,35449,34670,313.36,55.37,12.26,1.14
7,2022,7,KOLKATA,AGARTALA,35266,39576,325.64,32.67,10.57,1.00
8,2022,8,KOLKATA,AGARTALA,32251,36747,263.44,46.45,7.95,0.96
9,2022,9,KOLKATA,AGARTALA,36076,35747,270.24,21.58,9.27,0.78
10,2022,10,KOLKATA,AGARTALA,33042,39460,232.93,14.82,5.78,1.02
11,2022,11,KOLKATA,AGARTALA,28593,27406,211.92,18.95,6.48,1.64
12,2022,12,KOLKATA,AGARTALA,35692,33537,217.87,11.80,9.07,0.09
13,2022,1,KOLKATA,AHMEDABAD,10191,8286,55.87,110.50,6.19,2.36
14,2022,2,KOLKATA,AHMEDABAD,15263,15492,99.04,167.45,5.13,3.02
15,2022,3,KOLKATA,AHMEDABAD,15975,17003,92.25,177.83,4.02,1.33
16,2022,4,KOLKATA,AHMEDABAD,15770,19397,126.39,210.46,3.28,2.36
17,2022,5,KOLKATA,AHMEDABAD,17939,20590,264.86,202.77,3.46,2.10
18,2022,6,KOLKATA,AHMEDABAD,16903,14909,146.39,206.53,4.49,2.35
19,2022,7,KOLKATA,AHMEDABAD,15948,15402,147.92,220.49,2.89,1.92
20,2022,8,KOLKATA,AHMEDABAD,16007,14599,145.53,205.57,3.38,2.26
21,2022,9,KOLKATA,AHMEDABAD,14704,15613,146.05,209.76,4.31,1.54
22,2022,10,KOLKATA,AHMEDABAD,15965,20884,126.91,153.55,1.38,1.44
23,2022,11,KOLKATA,AHMEDABAD,20237,16539,137.27,194.52,1.54,1.29
24,2022,12,KOLKATA,AHMEDABAD,20741,20844,146.80,168.63,2.03,1.53
25,2022,1,KOLKATA,AIZAWL,3416,3563,12.64,4.99,5.28,0.00
26,2022,2,KOLKATA,AIZAWL,3016,3897,16.79,13.94,8.75,0.00
27,2022,3,KOLKATA,AIZAWL,4999,5997,20.11,3.03,7.70,0.00
28,2022,4,KOLKATA,AIZAWL,5958,6016,22.39,0.10,10.00,0.00
29,2022,5,KOLKATA,AIZAWL,5629,5318,18.03,0.20,7.68,0.00
