_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2015,4,KOLKATA,AHMEDABAD,9387,11814,"","","",""
2,2015,5,KOLKATA,AHMEDABAD,13532,15614,"","","",""
3,2015,6,KOLKATA,AHMEDABAD,12691,10372,"","","",""
4,2015,7,KOLKATA,AHMEDABAD,10322,11000,"","","",""
5,2015,8,KOLKATA,AHMEDABAD,10233,9813,"","","",""
6,2015,9,KOLKATA,AHMEDABAD,9785,10777,"","","",""
7,2015,10,KOLKATA,AHMEDABAD,11192,11531,"","","",""
8,2015,11,KOLKATA,AHMEDABAD,11882,13271,"","","",""
9,2015,12,KOLKATA,AHMEDABAD,14235,13214,"","","",""
10,2015,4,KOLKATA,AIZAWL,4063,3709,"","","",""
11,2015,5,KOLKATA,AIZAWL,4606,3972,"","","",""
12,2015,6,KOLKATA,AIZAWL,4192,4391,"","","",""
13,2015,7,KOLKATA,AIZAWL,4129,4505,"","","",""
14,2015,8,KOLKATA,AIZAWL,3829,4359,"","","",""
15,2015,9,KOLKATA,AIZAWL,4021,3930,"","","",""
16,2015,10,KOLKATA,AIZAWL,2433,5962,"","","",""
17,2015,11,KOLKATA,AIZAWL,2490,2550,"","","",""
18,2015,12,KOLKATA,AIZAWL,4777,3798,"","","",""
19,2015,4,KOLKATA,BENGALURU,28755,32560,"","","",""
20,2015,5,KOLKATA,BENGALURU,38172,35652,"","","",""
21,2015,6,KOLKATA,BENGALURU,33977,33345,"","","",""
22,2015,7,KOLKATA,BENGALURU,34844,36917,"","","",""
23,2015,8,KOLKATA,BENGALURU,37140,36160,"","","",""
24,2015,9,KOLKATA,BENGALURU,21910,25162,"","","",""
25,2015,9,KOLKATA,BENGALURU,12363,13112,"","","",""
26,2015,10,KOLKATA,BENGALURU,40845,49052,"","","",""
27,2015,11,KOLKATA,BENGALURU,44310,46541,"","","",""
28,2015,12,KOLKATA,BENGALURU,48663,51741,"","","",""
29,2015,4,KOLKATA,BHUBANESWAR,11703,12964,"","","",""
30,2015,5,KOLKATA,BHUBANESWAR,15709,17044,"","","",""
31,2015,6,KOLKATA,BHUBANESWAR,13783,14742,"","","",""
32,2015,7,KOLKATA,BHUBANESWAR,11832,12406,"","","",""
33,2015,8,KOLKATA,BHUBANESWAR,10845,11979,"","","",""
34,2015,9,KOLKATA,BHUBANESWAR,11052,12450,"","","",""
35,2015,10,KOLKATA,BHUBANESWAR,11077,11707,"","","",""
36,2015,11,KOLKATA,BHUBANESWAR,11581,12428,"","","",""
37,2015,12,KOLKATA,BHUBANESWAR,13165,14041,"","","",""
38,2015,4,KOLKATA,AGARTALA,22090,23468,"","","",""
39,2015,5,KOLKATA,AGARTALA,24188,26034,"","","",""
40,2015,6,KOLKATA,AGARTALA,23344,22566,"","","",""
41,2015,7,KOLKATA,AGARTALA,22201,24332,"","","",""
42,2015,8,KOLKATA,AGARTALA,21988,25325,"","","",""
43,2015,9,KOLKATA,AGARTALA,22074,21933,"","","",""
