_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2020,1,KOLKATA,AGARTALA,44350,41624,306.90,17.74,7.59,4.69
2,2020,2,KOLKATA,AGARTALA,36551,39620,325.29,19.96,7.36,4.56
3,2020,3,KOLKATA,AGARTALA,32860,27277,220.59,12.99,2.22,0.00
4,2020,5,KOLKATA,AGARTALA,494,486,7.16,0.07,0.89,0.57
5,2020,6,KOLKATA,AGARTALA,12288,9803,227.29,13.90,9.17,4.37
6,2020,7,KOLKATA,AGARTALA,6362,5351,257.54,14.32,6.04,3.92
7,2020,8,KOLKATA,AGARTALA,7521,4604,164.59,16.85,8.03,2.36
8,2020,9,KOLKATA,AGARTALA,10318,8089,136.26,19.77,9.93,2.45
9,2020,10,KOLKATA,AGARTALA,17018,15005,243.33,23.51,11.11,5.01
10,2020,11,KOLKATA,AGARTALA,18622,22259,217.51,12.88,12.12,3.67
11,2020,12,KOLKATA,AGARTALA,25224,23824,205.27,11.07,11.07,4.78
12,2020,1,KOLKATA,AHMEDABAD,24067,26248,193.72,200.39,2.05,0.74
13,2020,2,KOLKATA,AHMEDABAD,22282,23209,162.93,174.82,2.32,1.14
14,2020,3,KOLKATA,AHMEDABAD,13305,15029,56.44,143.31,0.00,0.00
15,2020,5,KOLKATA,AHMEDABAD,0,0,1.19,20.53,0.00,0.00
16,2020,6,KOLKATA,AHMEDABAD,3605,6712,100.63,76.39,1.13,1.85
17,2020,7,KOLKATA,AHMEDABAD,978,1685,19.44,20.07,0.04,0.22
18,2020,8,KOLKATA,AHMEDABAD,80,0,2.33,0.00,0.00,0.00
19,2020,9,KOLKATA,AHMEDABAD,6732,5971,42.61,49.08,0.70,1.89
20,2020,10,KOLKATA,AHMEDABAD,10266,7663,73.69,120.74,1.86,1.47
21,2020,11,KOLKATA,AHMEDABAD,11336,9597,81.54,125.17,1.94,1.21
22,2020,12,KOLKATA,AHMEDABAD,10367,11435,102.05,89.30,2.49,15.02
23,2020,1,KOLKATA,AIZAWL,6992,7905,28.32,4.22,2.48,16.31
24,2020,2,KOLKATA,AIZAWL,6690,6967,34.33,3.37,3.08,15.51
25,2020,3,KOLKATA,AIZAWL,5248,3884,25.24,3.48,1.83,6.63
26,2020,6,KOLKATA,AIZAWL,1186,1077,17.11,0.53,0.00,0.00
27,2020,7,KOLKATA,AIZAWL,1371,1335,29.92,1.91,0.00,0.00
28,2020,8,KOLKATA,AIZAWL,622,849,19.75,0.84,0.00,0.00
29,2020,9,KOLKATA,AIZAWL,1257,1378,7.79,2.49,1.98,0.00
30,2020,10,KOLKATA,AIZAWL,1545,2189,8.29,1.85,8.65,0.00
31,2020,11,KOLKATA,AIZAWL,1771,2237,14.79,3.83,4.18,0.00
32,2020,12,KOLKATA,AIZAWL,2338,2358,12.98,9.26,1.96,0.00
33,2020,1,KOLKATA,ALLAHABAD,1644,1708,0.00,0.00,0.00,0.00
34,2020,2,KOLKATA,ALLAHABAD,1686,1594,0.00,0.00,0.00,0.00
35,2020,3,KOLKATA,ALLAHABAD,1308,1463,0.00,0.00,0.00,0.00
36,2020,7,KOLKATA,ALLAHABAD,130,94,0.00,0.00,0.00,0.00
37,2020,8,KOLKATA,ALLAHABAD,806,570,0.00,0.00,0.00,0.00
38,2020,9,KOLKATA,ALLAHABAD,1086,838,0.00,0.00,0.00,0.00
39,2020,10,KOLKATA,ALLAHABAD,1059,948,0.00,0.00,0.00,0.00
40,2020,11,KOLKATA,ALLAHABAD,1769,1734,0.00,0.00,0.00,0.00
41,2020,12,KOLKATA,ALLAHABAD,1585,1814,0.00,0.00,0.00,0.00
42,2020,1,KOLKATA,AMRITSAR,4049,5203,2.77,4.91,0.00,0.00
43,2020,2,KOLKATA,AMRITSAR,4476,5247,0.56,1.90,0.00,0.00
44,2020,3,KOLKATA,AMRITSAR,3055,4688,0.12,0.52,0.00,0.00
45,2020,6,KOLKATA,AMRITSAR,649,1373,0.55,0.35,0.00,0.00
46,2020,7,KOLKATA,AMRITSAR,1309,2146,0.55,0.10,0.00,0.00
47,2020,8,KOLKATA,AMRITSAR,3063,2820,11.06,0.15,1.58,0.00
48,2020,9,KOLKATA,AMRITSAR,3302,2575,8.11,0.16,0.00,0.00
49,2020,10,KOLKATA,AMRITSAR,3643,3552,14.32,0.93,3.26,0.00
50,2020,11,KOLKATA,AMRITSAR,4215,4412,23.01,1.88,2.01,0.00
51,2020,12,KOLKATA,AMRITSAR,4428,4511,4.54,0.67,1.15,2.13
52,2020,1,KOLKATA,BAGDOGRA,35162,39173,69.10,65.16,10.56,5.68
53,2020,2,KOLKATA,BAGDOGRA,34217,36337,71.78,58.21,11.32,7.76
54,2020,3,KOLKATA,BAGDOGRA,25463,27196,47.78,44.29,4.40,0.38
