_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
72,2024,8,KOLKATA,COIMBATORE,210,354,1.29,23.18,0.00,0.00
73,2024,1,KOLKATA,COOCH BEHAR,205,204,0.00,0.00,0.00,0.00
74,2024,2,KOLKATA,COOCH BEHAR,218,205,0.00,0.00,0.00,0.00
75,2024,3,KOLKATA,COOCH BEHAR,262,258,0.00,0.00,0.00,0.00
76,2024,4,KOLKATA,COOCH BEHAR,177,170,0.00,0.00,0.00,0.00
77,2024,6,KOLKATA,COOCH BEHAR,213,209,0.00,0.00,0.00,0.00
78,2024,7,KOLKATA,COOCH BEHAR,169,169,0.00,0.00,0.00,0.00
79,2024,8,KOLKATA,COOCH BEHAR,168,201,0.00,0.00,0.00,0.00
80,2024,1,KOLKATA,DABOLIM,5802,6261,6.10,27.71,0.00,0.92
81,2024,2,KOLKATA,DABOLIM,5437,5819,7.09,29.25,0.00,0.68
82,2024,3,KOLKATA,DABOLIM,5826,6151,5.31,10.51,0.00,1.77
83,2024,4,KOLKATA,DABOLIM,4509,4876,3.90,9.43,0.00,0.99
84,2024,6,KOLKATA,DABOLIM,4730,4785,9.68,2.87,0.00,0.70
85,2024,7,KOLKATA,DABOLIM,5090,4065,3.48,7.73,0.00,0.76
86,2024,8,KOLKATA,DABOLIM,4725,4330,1.95,8.47,0.00,0.97
87,2024,1,KOLKATA,DARBHANGA,1843,1515,0.50,0.00,0.00,0.00
88,2024,2,KOLKATA,DARBHANGA,4302,3294,0.69,0.00,0.00,0.00
89,2024,3,KOLKATA,DARBHANGA,5074,4238,0.97,0.00,0.00,0.00
90,2024,4,KOLKATA,DARBHANGA,2192,1991,0.10,0.00,0.00,0.00
91,2024,6,KOLKATA,DARBHANGA,1936,1919,0.10,0.00,0.00,0.00
92,2024,7,KOLKATA,DARBHANGA,1972,1798,0.07,0.00,0.00,0.00
93,2024,8,KOLKATA,DARBHANGA,1811,1552,0.06,0.00,0.00,0.00
94,2024,1,KOLKATA,DELHI,118865,119251,1961.60,1492.37,51.73,49.30
95,2024,2,KOLKATA,DELHI,113691,115415,1867.84,1510.19,52.28,70.21
96,2024,3,KOLKATA,DELHI,120424,125476,1805.83,1479.84,76.31,34.22
97,2024,4,KOLKATA,DELHI,107008,121262,1566.00,1378.12,43.72,43.25
98,2024,6,KOLKATA,DELHI,101109,116303,1585.83,1475.04,30.55,38.57
99,2024,7,KOLKATA,DELHI,112902,109039,1888.15,1626.35,38.95,33.14
100,2024,8,KOLKATA,DELHI,103636,102142,1793.51,1549.91,31.87,35.00
101,2024,1,KOLKATA,DIBRUGARH,11141,10307,32.77,5.85,7.00,1.88
102,2024,2,KOLKATA,DIBRUGARH,10026,9017,30.86,4.90,6.92,2.16
103,2024,3,KOLKATA,DIBRUGARH,11428,11032,32.27,7.11,7.27,2.13
104,2024,4,KOLKATA,DIBRUGARH,11497,11245,38.82,22.59,8.73,1.74
105,2024,6,KOLKATA,DIBRUGARH,8841,10411,23.81,30.35,8.14,1.26
106,2024,7,KOLKATA,DIBRUGARH,10723,12143,24.87,29.00,6.80,1.09
107,2024,8,KOLKATA,DIBRUGARH,8435,10258,26.04,35.21,6.89,1.08
108,2024,1,KOLKATA,DIMAPUR,6435,6928,40.42,124.32,5.42,4.39
109,2024,2,KOLKATA,DIMAPUR,5470,5349,35.62,20.86,6.11,4.00
110,2024,3,KOLKATA,DIMAPUR,6002,5191,34.50,13.22,7.29,3.50
111,2024,4,KOLKATA,DIMAPUR,5789,5097,58.08,11.73,4.39,3.76
112,2024,6,KOLKATA,DIMAPUR,5522,5519,52.86,10.27,5.89,3.80
113,2024,7,KOLKATA,DIMAPUR,6032,6361,44.36,4.68,5.15,4.86
114,2024,8,KOLKATA,DIMAPUR,5425,5570,46.61,9.21,6.57,5.17
115,2024,3,KOLKATA,DehraDun,150,164,0.00,0.00,0.00,0.00
116,2024,4,KOLKATA,DehraDun,2575,2692,0.31,1.18,0.00,0.00
117,2024,6,KOLKATA,DehraDun,2465,2856,0.01,1.26,0.00,0.00
118,2024,7,KOLKATA,DehraDun,2709,2868,0.01,2.30,0.00,0.00
119,2024,8,KOLKATA,DehraDun,2389,2417,0.05,1.62,0.00,0.00
120,2024,1,KOLKATA,Deoghar ,791,800,0.07,0.00,0.00,0.00
121,2024,2,KOLKATA,Deoghar ,1509,1391,0.11,0.00,0.00,0.00
122,2024,3,KOLKATA,Deoghar ,2007,1850,0.22,0.00,0.00,0.00
123,2024,4,KOLKATA,Deoghar ,1855,1828,0.12,0.00,0.00,0.00
124,2024,6,KOLKATA,Deoghar ,1719,1866,0.03,0.00,0.00,0.00
125,2024,7,KOLKATA,Deoghar ,1831,1895,0.00,0.00,0.00,0.00
126,2024,8,KOLKATA,Deoghar ,1595,1953,0.20,0.00,0.00,0.00
127,2024,1,KOLKATA,GAYA,3730,4630,0.02,0.00,0.00,0.00
128,2024,2,KOLKATA,GAYA,4387,4027,0.02,0.00,0.00,0.00
129,2024,3,KOLKATA,GAYA,4742,4886,0.15,0.00,0.00,0.00
130,2024,4,KOLKATA,GAYA,4719,4659,0.10,0.00,0.00,0.00
131,2024,6,KOLKATA,GAYA,4170,4607,0.09,1.63,0.00,0.00
132,2024,7,KOLKATA,GAYA,4539,4382,0.30,1.79,0.00,0.00
