_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2016,1,KOLKATA,AHMEDABAD,13190,13549,"","","",""
2,2016,2,KOLKATA,AHMEDABAD,12753,13354,"","","",""
3,2016,3,KOLKATA,AHMEDABAD,12915,14054,"","","",""
4,2016,4,KOLKATA,AHMEDABAD,11701,12982,"","","",""
5,2016,5,KOLKATA,AHMEDABAD,12312,12916,"","","",""
6,2016,6,KOLKATA,AHMEDABAD,11356,10987,"","","",""
7,2016,7,KOLKATA,AHMEDABAD,11230,10822,"","","",""
8,2016,8,KOLKATA,AHMEDABAD,10658,10772,"","","",""
9,2016,9,KOLKATA,AHMEDABAD,10307,10898,"","","",""
10,2016,10,KOLKATA,AHMEDABAD,11473,14357,"","","",""
11,2016,11,KOLKATA,AHMEDABAD,14512,13456,"","","",""
12,2016,12,KOLKATA,AHMEDABAD,14452,14887,"","","",""
13,2016,1,KOLKATA,AIZAWL,3974,4818,"","","",""
14,2016,2,KOLKATA,AIZAWL,4180,4222,"","","",""
15,2016,3,KOLKATA,AIZAWL,4429,4330,"","","",""
16,2016,4,KOLKATA,AIZAWL,4099,3476,"","","",""
17,2016,5,KOLKATA,AIZAWL,4145,3790,"","","",""
18,2016,6,KOLKATA,AIZAWL,3847,4049,"","","",""
19,2016,7,KOLKATA,AIZAWL,3864,4230,"","","",""
20,2016,8,KOLKATA,AIZAWL,3826,4176,"","","",""
21,2016,9,KOLKATA,AIZAWL,3710,3675,"","","",""
22,2016,10,KOLKATA,AIZAWL,4679,5385,"","","",""
23,2016,11,KOLKATA,AIZAWL,5991,6020,"","","",""
24,2016,12,KOLKATA,AIZAWL,7038,5634,"","","",""
25,2016,1,KOLKATA,BENGALURU,49469,49150,"","","",""
26,2016,2,KOLKATA,BENGALURU,43511,45247,"","","",""
27,2016,3,KOLKATA,BENGALURU,45765,50227,"","","",""
28,2016,4,KOLKATA,BENGALURU,45551,53265,"","","",""
29,2016,5,KOLKATA,BENGALURU,58369,51292,"","","",""
30,2016,6,KOLKATA,BENGALURU,48595,52063,"","","",""
31,2016,7,KOLKATA,BENGALURU,55812,55635,"","","",""
32,2016,8,KOLKATA,BENGALURU,55111,55219,"","","",""
33,2016,9,KOLKATA,BENGALURU,48462,61266,"","","",""
34,2016,10,KOLKATA,BENGALURU,63818,75994,"","","",""
35,2016,11,KOLKATA,BENGALURU,64978,58779,"","","",""
36,2016,12,KOLKATA,BENGALURU,71642,75616,"","","",""
37,2016,1,KOLKATA,BHUBANESWAR,15679,15909,"","","",""
38,2016,2,KOLKATA,BHUBANESWAR,15000,16193,"","","",""
39,2016,3,KOLKATA,BHUBANESWAR,16970,17134,"","","",""
40,2016,4,KOLKATA,BHUBANESWAR,10756,11997,"","","",""
41,2016,5,KOLKATA,BHUBANESWAR,11947,12578,"","","",""
42,2016,6,KOLKATA,BHUBANESWAR,10960,11282,"","","",""
43,2016,7,KOLKATA,BHUBANESWAR,11129,11647,"","","",""
44,2016,8,KOLKATA,BHUBANESWAR,10354,11370,"","","",""
45,2016,9,KOLKATA,BHUBANESWAR,11135,12188,"","","",""
46,2016,10,KOLKATA,BHUBANESWAR,16052,17823,"","","",""
47,2016,11,KOLKATA,BHUBANESWAR,15518,17052,"","","",""
48,2016,12,KOLKATA,BHUBANESWAR,19503,21741,"","","",""
49,2016,1,KOLKATA,AGARTALA,28625,27135,"","","",""
50,2016,2,KOLKATA,AGARTALA,25137,26343,"","","",""
51,2016,3,KOLKATA,AGARTALA,27628,29697,"","","",""
52,2016,4,KOLKATA,AGARTALA,26504,29050,"","","",""
53,2016,5,KOLKATA,AGARTALA,30634,31828,"","","",""
54,2016,6,KOLKATA,AGARTALA,29144,29560,"","","",""
55,2016,7,KOLKATA,AGARTALA,31286,33411,"","","",""
56,2016,8,KOLKATA,AGARTALA,31481,35067,"","","",""
57,2016,9,KOLKATA,AGARTALA,35721,34617,"","","",""
58,2016,10,KOLKATA,AGARTALA,34068,37389,"","","",""
59,2016,11,KOLKATA,AGARTALA,32414,36802,"","","",""
60,2016,12,KOLKATA,AGARTALA,39160,42283,"","","",""
61,2016,1,KOLKATA,BAGDOGRA,13725,15412,"","","",""
62,2016,2,KOLKATA,BAGDOGRA,14727,15121,"","","",""
63,2016,3,KOLKATA,BAGDOGRA,17877,18310,"","","",""
64,2016,4,KOLKATA,BAGDOGRA,17947,19050,"","","",""
65,2016,5,KOLKATA,BAGDOGRA,22403,21891,"","","",""
66,2016,6,KOLKATA,BAGDOGRA,18615,21114,"","","",""
67,2016,7,KOLKATA,BAGDOGRA,16896,18549,"","","",""
68,2016,8,KOLKATA,BAGDOGRA,16232,18984,"","","",""
69,2016,9,KOLKATA,BAGDOGRA,19808,19913,"","","",""
70,2016,10,KOLKATA,BAGDOGRA,23565,23992,"","","",""
71,2016,11,KOLKATA,BAGDOGRA,21955,26152,"","","",""
72,2016,12,KOLKATA,BAGDOGRA,24979,27330,"","","",""
73,2016,10,KOLKATA,CHANDIGARH,5,10,"","","",""
74,2016,11,KOLKATA,CHANDIGARH,268,164,"","","",""
75,2016,12,KOLKATA,CHANDIGARH,525,226,"","","",""
76,2016,1,KOLKATA,CHENNAI,34655,33738,"","","",""
77,2016,2,KOLKATA,CHENNAI,32513,34826,"","","",""
78,2016,3,KOLKATA,CHENNAI,35582,40313,"","","",""
79,2016,4,KOLKATA,CHENNAI,32826,39567,"","","",""
80,2016,5,KOLKATA,CHENNAI,42232,40489,"","","",""
81,2016,6,KOLKATA,CHENNAI,36463,38294,"","","",""
82,2016,7,KOLKATA,CHENNAI,42816,43385,"","","",""
83,2016,8,KOLKATA,CHENNAI,38717,41963,"","","",""
84,2016,9,KOLKATA,CHENNAI,39856,46004,"","","",""
85,2016,10,KOLKATA,CHENNAI,48330,52009,"","","",""
86,2016,11,KOLKATA,CHENNAI,48370,48417,"","","",""
87,2016,12,KOLKATA,CHENNAI,54074,53756,"","","",""
88,2016,1,KOLKATA,COIMBATORE,2507,2378,"","","",""
