_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2019,5,KOLKATA,AGARTALA,34401,35951,293.59,17.39,19.90,5.02
2,2019,6,KOLKATA,AGARTALA,37403,37962,321.03,14.38,9.20,4.41
3,2019,7,KOLKATA,AGARTALA,37956,40108,341.73,19.52,7.26,4.39
4,2019,8,KOLKATA,AGARTALA,34960,39618,372.40,17.80,9.99,4.80
5,2019,9,KOLKATA,AGARTALA,35673,34780,351.47,33.69,9.13,4.74
6,2019,10,KOLKATA,AGARTALA,34929,38473,308.54,19.76,5.00,5.66
7,2019,11,KOLKATA,AGARTALA,45092,47474,268.10,18.46,7.63,4.51
8,2019,12,KOLKATA,AGARTALA,46100,43814,276.11,22.44,8.63,4.45
9,2019,1,KOLKATA,AHMEDABAD,21119,24482,204.26,217.54,5.55,2.22
10,2019,2,KOLKATA,AHMEDABAD,19168,21965,169.93,204.91,5.68,2.70
11,2019,3,KOLKATA,AHMEDABAD,20612,21322,115.97,247.50,9.91,2.72
12,2019,4,KOLKATA,AHMEDABAD,18127,20764,124.38,236.47,5.30,4.36
13,2019,5,KOLKATA,AHMEDABAD,20288,21526,305.04,242.62,3.76,3.50
14,2019,6,KOLKATA,AHMEDABAD,19432,19553,211.77,224.52,3.95,3.13
15,2019,7,KOLKATA,AHMEDABAD,18155,18596,147.05,345.25,6.84,0.56
16,2019,8,KOLKATA,AHMEDABAD,16880,18646,166.78,251.12,7.34,1.36
17,2019,9,KOLKATA,AHMEDABAD,17494,18837,160.28,288.20,3.60,1.24
18,2019,10,KOLKATA,AHMEDABAD,21252,26882,128.82,263.84,2.50,1.24
19,2019,11,KOLKATA,AHMEDABAD,26379,25357,150.90,217.96,2.63,0.77
20,2019,12,KOLKATA,AHMEDABAD,24437,25426,157.73,211.55,3.28,0.88
21,2019,1,KOLKATA,AIZAWL,3640,4284,19.16,3.09,10.93,8.57
22,2019,2,KOLKATA,AIZAWL,3420,3464,26.50,4.70,7.75,16.53
23,2019,3,KOLKATA,AIZAWL,3635,3541,29.62,6.93,5.62,19.27
24,2019,4,KOLKATA,AIZAWL,4241,4084,29.97,6.16,4.90,14.15
25,2019,5,KOLKATA,AIZAWL,4801,4716,25.53,8.15,3.92,18.16
26,2019,6,KOLKATA,AIZAWL,4473,4664,23.80,7.81,4.68,16.36
27,2019,7,KOLKATA,AIZAWL,4694,4777,28.38,12.85,2.81,19.72
28,2019,8,KOLKATA,AIZAWL,4197,4535,31.27,7.75,2.19,21.79
29,2019,9,KOLKATA,AIZAWL,4141,4131,31.48,5.79,2.49,22.67
30,2019,10,KOLKATA,AIZAWL,4410,4285,40.13,7.60,4.04,22.52
31,2019,11,KOLKATA,AIZAWL,7351,6651,50.85,20.72,3.49,26.52
32,2019,12,KOLKATA,AIZAWL,8956,7051,31.65,8.02,3.90,15.66
33,2019,6,KOLKATA,ALLAHABAD,194,182,0.00,0.00,0.00,0.00
34,2019,7,KOLKATA,ALLAHABAD,1242,1444,0.00,0.00,0.00,0.00
35,2019,8,KOLKATA,ALLAHABAD,1178,1622,0.00,0.00,0.00,0.00
36,2019,9,KOLKATA,ALLAHABAD,1134,1116,0.00,0.00,0.00,0.00
37,2019,10,KOLKATA,ALLAHABAD,1649,1711,0.00,0.00,0.00,0.00
38,2019,11,KOLKATA,ALLAHABAD,1590,1687,0.02,0.00,0.00,0.00
39,2019,12,KOLKATA,ALLAHABAD,1553,1774,0.01,0.00,0.00,0.00
40,2019,10,KOLKATA,AMRITSAR,0,142,0.00,0.00,0.00,0.00
41,2019,11,KOLKATA,AMRITSAR,0,815,0.00,0.00,0.00,0.00
42,2019,12,KOLKATA,AMRITSAR,4516,6177,9.66,5.27,0.03,0.00
43,2019,11,KOLKATA,AURANGABAD,32,40,0.00,0.00,0.00,0.00
44,2019,12,KOLKATA,AURANGABAD,34,71,0.00,0.00,0.00,0.00
45,2019,5,KOLKATA,BAGDOGRA,42483,41167,105.79,81.43,0.89,0.97
46,2019,6,KOLKATA,BAGDOGRA,36092,38917,90.07,82.53,1.10,1.27
47,2019,7,KOLKATA,BAGDOGRA,33832,36473,80.21,82.39,0.00,0.76
48,2019,8,KOLKATA,BAGDOGRA,33329,35105,97.29,76.86,0.69,1.89
49,2019,9,KOLKATA,BAGDOGRA,34022,33874,110.48,101.57,0.62,5.44
50,2019,10,KOLKATA,BAGDOGRA,37466,38014,116.64,73.85,0.81,6.56
51,2019,11,KOLKATA,BAGDOGRA,35110,37564,99.92,74.58,6.29,7.74
52,2019,12,KOLKATA,BAGDOGRA,38203,38897,80.25,60.14,9.81,7.93
53,2019,1,KOLKATA,BENGALURU,80679,85595,309.17,373.94,4.81,19.92
54,2019,2,KOLKATA,BENGALURU,78630,78433,492.94,378.29,5.04,16.43
55,2019,3,KOLKATA,BENGALURU,82043,86782,379.79,439.00,4.34,20.72
56,2019,4,KOLKATA,BENGALURU,73392,80913,439.78,414.32,3.88,16.10
57,2019,5,KOLKATA,BENGALURU,76740,73681,921.66,485.49,3.87,18.60
58,2019,6,KOLKATA,BENGALURU,77926,76178,857.75,438.79,5.99,20.39
59,2019,7,KOLKATA,BENGALURU,74305,75168,676.17,746.00,4.26,19.46
60,2019,8,KOLKATA,BENGALURU,74204,77042,753.77,968.89,7.02,20.31
61,2019,9,KOLKATA,BENGALURU,67218,71071,659.90,873.04,3.80,17.38
62,2019,10,KOLKATA,BENGALURU,79657,83653,697.78,654.71,4.19,14.03
63,2019,11,KOLKATA,BENGALURU,78474,78373,667.51,413.92,6.33,10.28
64,2019,12,KOLKATA,BENGALURU,84318,86950,571.72,494.45,6.94,8.34
65,2019,1,KOLKATA,BHUBANESWAR,35561,36803,127.94,42.83,18.95,4.57
66,2019,2,KOLKATA,BHUBANESWAR,31945,30684,111.75,132.64,18.01,2.43
67,2019,3,KOLKATA,BHUBANESWAR,35046,36796,62.73,95.63,23.59,3.33
68,2019,4,KOLKATA,BHUBANESWAR,27405,31367,76.14,64.13,16.36,3.26
69,2019,5,KOLKATA,BHUBANESWAR,26974,28994,92.69,48.82,15.85,1.87
70,2019,6,KOLKATA,BHUBANESWAR,27069,26403,45.26,51.26,13.34,3.71
71,2019,7,KOLKATA,BHUBANESWAR,25498,24709,47.37,18.60,11.56,3.47
72,2019,8,KOLKATA,BHUBANESWAR,23825,26390,88.47,22.32,12.31,0.31
73,2019,9,KOLKATA,BHUBANESWAR,25213,26722,76.07,40.99,5.73,0.68
74,2019,10,KOLKATA,BHUBANESWAR,27503,29046,115.01,12.15,8.99,0.88
75,2019,11,KOLKATA,BHUBANESWAR,30840,30646,100.59,6.75,14.59,0.66
76,2019,12,KOLKATA,BHUBANESWAR,28818,28710,58.25,5.67,13.43,4.29
77,2019,5,KOLKATA,CHANDIGARH,3017,3978,9.22,32.17,0.00,3.56
78,2019,6,KOLKATA,CHANDIGARH,2491,3976,7.08,23.02,0.00,3.05
79,2019,7,KOLKATA,CHANDIGARH,2271,3055,4.16,26.47,0.00,3.56
80,2019,8,KOLKATA,CHANDIGARH,0,860,0.00,1.12,0.00,0.00
81,2019,9,KOLKATA,CHANDIGARH,1754,2309,1.83,30.22,0.00,3.41
82,2019,10,KOLKATA,CHANDIGARH,2880,3835,4.12,26.35,0.00,3.58
83,2019,11,KOLKATA,CHANDIGARH,2664,3502,4.57,29.93,0.00,4.20
84,2019,12,KOLKATA,CHANDIGARH,1213,0,1.14,0.00,0.09,0.00
85,2019,5,KOLKATA,CHENNAI,45928,46799,361.79,570.81,3.38,28.19
86,2019,6,KOLKATA,CHENNAI,55773,54347,305.51,565.85,5.71,25.42
87,2019,7,KOLKATA,CHENNAI,57303,56730,215.93,626.06,4.62,25.67
88,2019,8,KOLKATA,CHENNAI,56623,57959,222.97,565.48,6.51,27.40
89,2019,9,KOLKATA,CHENNAI,58732,61906,246.27,416.81,5.00,25.82
90,2019,10,KOLKATA,CHENNAI,62004,67643,274.49,366.69,4.03,25.54
91,2019,11,KOLKATA,CHENNAI,59383,61753,295.88,250.71,3.52,31.32
92,2019,12,KOLKATA,CHENNAI,61624,66032,321.59,237.33,8.95,27.94
93,2019,5,KOLKATA,COIMBATORE,993,1400,4.82,14.86,0.00,0.00
