_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2023,1,KOLKATA,AGARTALA,33706,32722,212.17,2.70,8.84,0.00
2,2023,2,KOLKATA,AGARTALA,28866,31661,151.04,1.77,9.79,0.01
3,2023,3,KOLKATA,AGARTALA,38145,37714,192.84,15.44,8.03,0.00
4,2023,4,KOLKATA,AGARTALA,39663,36408,266.97,2.39,8.94,0.26
5,2023,5,KOLKATA,AGARTALA,38086,37985,298.18,17.77,8.42,0.72
6,2023,6,KOLKATA,AGARTALA,36228,34237,248.30,18.50,9.11,0.51
7,2023,7,KOLKATA,AGARTALA,36228,38432,291.81,80.64,9.47,0.62
8,2023,8,KOLKATA,AGARTALA,35980,38875,238.22,29.24,9.49,0.92
9,2023,9,KOLKATA,AGARTALA,36378,36862,281.16,40.72,8.22,2.49
10,2023,10,KOLKATA,AGARTALA,37808,35815,245.81,10.42,8.36,2.95
11,2023,11,KOLKATA,AGARTALA,35108,36539,263.08,27.06,6.65,4.32
12,2023,12,KOLKATA,AGARTALA,36047,34262,242.92,88.06,8.43,4.90
13,2023,1,KOLKATA,AHMEDABAD,21647,23812,136.31,295.70,0.56,0.49
14,2023,2,KOLKATA,AHMEDABAD,21296,22283,145.36,211.80,0.34,0.68
15,2023,3,KOLKATA,AHMEDABAD,19058,19446,121.63,201.19,2.86,2.05
16,2023,4,KOLKATA,AHMEDABAD,12879,14710,114.38,131.27,5.04,0.59
17,2023,5,KOLKATA,AHMEDABAD,15125,14782,204.41,166.64,3.77,1.32
18,2023,6,KOLKATA,AHMEDABAD,13463,13419,112.49,139.33,4.50,1.09
19,2023,7,KOLKATA,AHMEDABAD,14457,13236,122.86,184.03,4.26,1.07
20,2023,8,KOLKATA,AHMEDABAD,14735,14344,125.31,200.30,0.03,1.53
21,2023,9,KOLKATA,AHMEDABAD,16407,15553,122.81,183.41,0.41,1.09
22,2023,10,KOLKATA,AHMEDABAD,16193,17748,122.80,152.71,0.03,1.88
23,2023,11,KOLKATA,AHMEDABAD,17563,20482,146.05,159.23,0.05,2.59
