_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2017,1,KOLKATA,AHMEDABAD,14545,14920,"","","",""
2,2017,2,KOLKATA,AHMEDABAD,12500,12966,"","","",""
3,2017,3,KOLKATA,AHMEDABAD,12597,12217,"","","",""
4,2017,4,KOLKATA,AHMEDABAD,12540,13698,"","","",""
5,2017,5,KOLKATA,AHMEDABAD,15340,16129,"","","",""
6,2017,6,KOLKATA,AHMEDABAD,13968,13062,"","","",""
7,2017,7,KOLKATA,AHMEDABAD,12326,11602,"","","",""
8,2017,8,KOLKATA,AHMEDABAD,11339,12475,"","","",""
9,2017,9,KOLKATA,AHMEDABAD,15419,15379,"","","",""
10,2017,10,KOLKATA,AHMEDABAD,17505,19859,"","","",""
11,2017,11,KOLKATA,AHMEDABAD,19471,18359,"","","",""
12,2017,12,KOLKATA,AHMEDABAD,19129,18677,"","","",""
13,2017,1,KOLKATA,AIZAWL,5320,6774,"","","",""
14,2017,2,KOLKATA,AIZAWL,5240,5127,"","","",""
15,2017,3,KOLKATA,AIZAWL,5717,5550,"","","",""
16,2017,4,KOLKATA,AIZAWL,5421,5253,"","","",""
17,2017,5,KOLKATA,AIZAWL,6724,5735,"","","",""
18,2017,6,KOLKATA,AIZAWL,5658,6848,"","","",""
19,2017,7,KOLKATA,AIZAWL,6128,7301,"","","",""
20,2017,8,KOLKATA,AIZAWL,6844,6770,"","","",""
21,2017,9,KOLKATA,AIZAWL,6545,6591,"","","",""
22,2017,10,KOLKATA,AIZAWL,6034,6304,"","","",""
23,2017,11,KOLKATA,AIZAWL,6354,6599,"","","",""
24,2017,12,KOLKATA,AIZAWL,6913,5899,"","","",""
25,2017,10,KOLKATA,AMRITSAR,38,41,"","","",""
26,2017,11,KOLKATA,AMRITSAR,279,337,"","","",""
27,2017,12,KOLKATA,AMRITSAR,476,474,"","","",""
28,2017,1,KOLKATA,BENGALURU,71794,71657,"","","",""
29,2017,2,KOLKATA,BENGALURU,56926,56784,"","","",""
30,2017,3,KOLKATA,BENGALURU,56087,57849,"","","",""
31,2017,4,KOLKATA,BENGALURU,55752,62306,"","","",""
32,2017,5,KOLKATA,BENGALURU,75764,68158,"","","",""
33,2017,6,KOLKATA,BENGALURU,65300,67341,"","","",""
34,2017,7,KOLKATA,BENGALURU,68718,65572,"","","",""
35,2017,8,KOLKATA,BENGALURU,65620,71531,"","","",""
36,2017,9,KOLKATA,BENGALURU,61528,74010,"","","",""
37,2017,10,KOLKATA,BENGALURU,72811,71342,"","","",""
38,2017,11,KOLKATA,BENGALURU,67326,68354,"","","",""
39,2017,12,KOLKATA,BENGALURU,76518,80799,"","","",""
40,2017,1,KOLKATA,BHUBANESWAR,20571,21749,"","","",""
41,2017,2,KOLKATA,BHUBANESWAR,18212,18246,"","","",""
42,2017,3,KOLKATA,BHUBANESWAR,19672,19422,"","","",""
43,2017,4,KOLKATA,BHUBANESWAR,18041,18169,"","","",""
44,2017,5,KOLKATA,BHUBANESWAR,14719,14770,"","","",""
45,2017,6,KOLKATA,BHUBANESWAR,15131,14417,"","","",""
46,2017,7,KOLKATA,BHUBANESWAR,15115,16657,"","","",""
47,2017,8,KOLKATA,BHUBANESWAR,18206,19571,"","","",""
48,2017,9,KOLKATA,BHUBANESWAR,22444,24452,"","","",""
49,2017,10,KOLKATA,BHUBANESWAR,26983,27873,"","","",""
50,2017,11,KOLKATA,BHUBANESWAR,28836,29038,"","","",""
51,2017,12,KOLKATA,BHUBANESWAR,28376,30233,"","","",""
52,2017,1,KOLKATA,AGARTALA,40164,37964,"","","",""
53,2017,2,KOLKATA,AGARTALA,29956,33132,"","","",""
54,2017,3,KOLKATA,AGARTALA,32259,34578,"","","",""
55,2017,4,KOLKATA,AGARTALA,32748,37735,"","","",""
56,2017,5,KOLKATA,AGARTALA,43549,43152,"","","",""
57,2017,6,KOLKATA,AGARTALA,36824,37225,"","","",""
58,2017,7,KOLKATA,AGARTALA,35859,39430,"","","",""
59,2017,8,KOLKATA,AGARTALA,39343,40977,"","","",""
60,2017,9,KOLKATA,AGARTALA,44362,38740,"","","",""
61,2017,10,KOLKATA,AGARTALA,37931,46436,"","","",""
62,2017,11,KOLKATA,AGARTALA,38470,41520,"","","",""
63,2017,12,KOLKATA,AGARTALA,45690,45830,"","","",""
64,2017,1,KOLKATA,BAGDOGRA,22647,26763,"","","",""
65,2017,2,KOLKATA,BAGDOGRA,23467,24983,"","","",""
66,2017,3,KOLKATA,BAGDOGRA,30566,32914,"","","",""
67,2017,4,KOLKATA,BAGDOGRA,31925,33030,"","","",""
68,2017,5,KOLKATA,BAGDOGRA,36346,35819,"","","",""
69,2017,6,KOLKATA,BAGDOGRA,29982,35031,"","","",""
70,2017,7,KOLKATA,BAGDOGRA,22989,25224,"","","",""
71,2017,8,KOLKATA,BAGDOGRA,35484,34882,"","","",""
72,2017,9,KOLKATA,BAGDOGRA,36841,35275,"","","",""
73,2017,10,KOLKATA,BAGDOGRA,34542,36640,"","","",""
74,2017,11,KOLKATA,BAGDOGRA,30870,34584,"","","",""
75,2017,12,KOLKATA,BAGDOGRA,35890,36757,"","","",""
76,2017,1,KOLKATA,CHANDIGARH,423,243,"","","",""
77,2017,2,KOLKATA,CHANDIGARH,550,601,"","","",""
78,2017,3,KOLKATA,CHANDIGARH,1074,1028,"","","",""
79,2017,4,KOLKATA,CHANDIGARH,763,712,"","","",""
80,2017,5,KOLKATA,CHANDIGARH,727,635,"","","",""
81,2017,6,KOLKATA,CHANDIGARH,637,674,"","","",""
82,2017,7,KOLKATA,CHANDIGARH,459,537,"","","",""
83,2017,8,KOLKATA,CHANDIGARH,467,465,"","","",""
84,2017,9,KOLKATA,CHANDIGARH,671,309,"","","",""
85,2017,10,KOLKATA,CHANDIGARH,422,17,"","","",""
86,2017,11,KOLKATA,CHANDIGARH,442,0,"","","",""
87,2017,12,KOLKATA,CHANDIGARH,780,0,"","","",""
88,2017,1,KOLKATA,CHENNAI,56825,53275,"","","",""
89,2017,2,KOLKATA,CHENNAI,48403,48953,"","","",""
90,2017,3,KOLKATA,CHENNAI,53248,55303,"","","",""
91,2017,4,KOLKATA,CHENNAI,51255,57683,"","","",""
92,2017,5,KOLKATA,CHENNAI,56198,55453,"","","",""
93,2017,6,KOLKATA,CHENNAI,43980,43482,"","","",""
94,2017,7,KOLKATA,CHENNAI,43911,42030,"","","",""
95,2017,8,KOLKATA,CHENNAI,43537,43879,"","","",""
96,2017,9,KOLKATA,CHENNAI,44235,45182,"","","",""
97,2017,10,KOLKATA,CHENNAI,47330,47748,"","","",""
98,2017,11,KOLKATA,CHENNAI,46511,48096,"","","",""
99,2017,12,KOLKATA,CHENNAI,48742,47883,"","","",""
100,2017,1,KOLKATA,COIMBATORE,1346,1155,"","","",""
101,2017,2,KOLKATA,COIMBATORE,995,1111,"","","",""
102,2017,3,KOLKATA,COIMBATORE,856,1079,"","","",""
103,2017,4,KOLKATA,COIMBATORE,825,1160,"","","",""
104,2017,5,KOLKATA,COIMBATORE,1047,1298,"","","",""
105,2017,6,KOLKATA,COIMBATORE,741,1170,"","","",""
106,2017,7,KOLKATA,COIMBATORE,834,1112,"","","",""
107,2017,8,KOLKATA,COIMBATORE,428,682,"","","",""
108,2017,9,KOLKATA,COIMBATORE,808,802,"","","",""
109,2017,10,KOLKATA,COIMBATORE,912,859,"","","",""
110,2017,11,KOLKATA,COIMBATORE,751,1335,"","","",""
111,2017,12,KOLKATA,COIMBATORE,1007,1152,"","","",""
112,2017,1,KOLKATA,DELHI,135884,134211,"","","",""
113,2017,2,KOLKATA,DELHI,119065,117494,"","","",""
