_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
1,2021,1,KOLKATA,AGARTALA,27012,27172,197.57,12.14,9.66,3.03
2,2021,2,KOLKATA,AGARTALA,25095,27391,231.19,10.31,11.55,4.22
3,2021,3,KOLKATA,AGARTALA,26332,29387,225.01,9.28,7.12,5.27
4,2021,4,KOLKATA,AGARTALA,18989,18655,251.41,19.94,8.34,4.73
5,2021,6,KOLKATA,AGARTALA,8465,8054,160.90,17.11,7.60,5.37
6,2021,7,KOLKATA,AGARTALA,12985,15980,208.39,21.01,7.82,5.07
7,2021,8,KOLKATA,AGARTALA,21169,27319,272.38,49.54,12.15,3.90
8,2021,9,KOLKATA,AGARTALA,26934,30097,273.48,125.29,7.90,4.33
9,2021,10,KOLKATA,AGARTALA,30458,33611,273.67,59.47,5.80,4.22
10,2021,11,KOLKATA,AGARTALA,35135,38728,212.74,129.29,9.24,4.85
11,2021,12,KOLKATA,AGARTALA,37677,39685,223.46,161.09,12.86,4.66
12,2021,7,KOLKATA,AGRA,14,13,0.00,0.00,0.00,0.00
13,2021,1,KOLKATA,AHMEDABAD,12005,10282,90.60,38.89,2.35,0.00
14,2021,2,KOLKATA,AHMEDABAD,11259,9913,67.93,7.29,2.50,0.00
15,2021,3,KOLKATA,AHMEDABAD,11496,10856,52.66,5.52,1.86,0.00
16,2021,4,KOLKATA,AHMEDABAD,6582,6633,82.24,60.14,2.45,0.00
17,2021,6,KOLKATA,AHMEDABAD,7215,3587,104.38,77.55,2.44,0.51
18,2021,7,KOLKATA,AHMEDABAD,9430,6516,102.70,89.96,1.32,2.54
19,2021,8,KOLKATA,AHMEDABAD,12305,7865,93.46,104.88,1.32,3.36
20,2021,9,KOLKATA,AHMEDABAD,10767,7889,91.21,118.53,1.20,2.00
21,2021,10,KOLKATA,AHMEDABAD,12422,10940,116.48,113.28,0.89,3.24
